<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20010405,00:00:00,164.1257000,167.3322000,164.1257000,167.3322000,0
RI.RTSI,D,20010406,00:00:00,169.1721000,169.1721000,165.8802000,166.1669000,0
RI.RTSI,D,20010409,00:00:00,165.8763000,166.9342000,164.8379000,166.9342000,0
RI.RTSI,D,20010410,00:00:00,167.3960000,169.0243000,167.0740000,168.6277000,0
RI.RTSI,D,20010411,00:00:00,169.1347000,171.2029000,169.0803000,171.2029000,0
RI.RTSI,D,20010412,00:00:00,171.5925000,171.5925000,169.2141000,169.2141000,0
RI.RTSI,D,20010413,00:00:00,170.2579000,171.3608000,170.1955000,171.3608000,0
RI.RTSI,D,20010416,00:00:00,170.9391000,171.0077000,169.1877000,169.1877000,0
RI.RTSI,D,20010417,00:00:00,167.1832000,167.1832000,164.8834000,166.7961000,0
RI.RTSI,D,20010418,00:00:00,169.6377000,171.8527000,169.6377000,171.5090000,0
RI.RTSI,D,20010419,00:00:00,175.7401000,175.8503000,174.2549000,174.9221000,0
RI.RTSI,D,20010420,00:00:00,174.3269000,174.3269000,171.8428000,171.8428000,0
RI.RTSI,D,20010423,00:00:00,170.1902000,170.2338000,168.4199000,168.4199000,0
RI.RTSI,D,20010424,00:00:00,170.5489000,170.7866000,169.6631000,169.6631000,0
RI.RTSI,D,20010425,00:00:00,169.9771000,171.7428000,169.9593000,171.7428000,0
RI.RTSI,D,20010426,00:00:00,174.5498000,177.3618000,174.0948000,177.3618000,0
RI.RTSI,D,20010427,00:00:00,179.5884000,182.5311000,177.8036000,182.5311000,0
RI.RTSI,D,20010428,00:00:00,182.6403000,182.7712000,180.6629000,180.6806000,0
RI.RTSI,D,20010503,00:00:00,185.7704000,187.3946000,184.8618000,184.8618000,0
RI.RTSI,D,20010504,00:00:00,184.6020000,187.1012000,184.6020000,185.9491000,0
RI.RTSI,D,20010507,00:00:00,188.7357000,189.1875000,188.1225000,189.1875000,0
RI.RTSI,D,20010508,00:00:00,190.5667000,195.3253000,190.5667000,195.0416000,0
RI.RTSI,D,20010510,00:00:00,196.0923000,198.0750000,196.0923000,198.0750000,0
RI.RTSI,D,20010511,00:00:00,196.9422000,196.9422000,195.3297000,195.3297000,0
RI.RTSI,D,20010514,00:00:00,193.5608000,193.5608000,191.8854000,192.9632000,0
RI.RTSI,D,20010515,00:00:00,192.5964000,193.0344000,192.0479000,192.9367000,0
RI.RTSI,D,20010516,00:00:00,191.8596000,192.4366000,191.3369000,191.5785000,0
RI.RTSI,D,20010517,00:00:00,197.8483000,201.2443000,197.8483000,200.3795000,0
RI.RTSI,D,20010518,00:00:00,200.2261000,203.0920000,200.1019000,203.0920000,0
RI.RTSI,D,20010521,00:00:00,205.4186000,207.9911000,205.4186000,207.1738000,0
RI.RTSI,D,20010522,00:00:00,208.6891000,209.4452000,205.9035000,206.1475000,0
RI.RTSI,D,20010523,00:00:00,204.8128000,208.2174000,204.8128000,207.9026000,0
RI.RTSI,D,20010524,00:00:00,207.3219000,207.9068000,204.9394000,204.9394000,0
RI.RTSI,D,20010525,00:00:00,205.4877000,205.4877000,201.2726000,201.9540000,0
RI.RTSI,D,20010528,00:00:00,200.0046000,201.6013000,200.0046000,201.6013000,0
RI.RTSI,D,20010529,00:00:00,204.3261000,205.0894000,202.2794000,202.2794000,0
RI.RTSI,D,20010530,00:00:00,202.4151000,205.9419000,202.3816000,205.5478000,0
RI.RTSI,D,20010531,00:00:00,205.9729000,209.5971000,205.9729000,208.5789000,0
RI.RTSI,D,20010601,00:00:00,208.8200000,213.4700000,208.5300000,213.4700000,0
RI.RTSI,D,20010604,00:00:00,218.1400000,219.6400000,218.1400000,218.1800000,0
RI.RTSI,D,20010605,00:00:00,217.0000000,217.0000000,212.3800000,212.3800000,0
RI.RTSI,D,20010606,00:00:00,214.3200000,214.3200000,212.6800000,213.4100000,0
RI.RTSI,D,20010607,00:00:00,210.0500000,210.0500000,208.5800000,209.3000000,0
RI.RTSI,D,20010608,00:00:00,212.1300000,214.9900000,212.1200000,212.1200000,0
RI.RTSI,D,20010609,00:00:00,211.3500000,211.6100000,211.1100000,211.6100000,0
RI.RTSI,D,20010613,00:00:00,210.4400000,210.4400000,209.3600000,210.1400000,0
RI.RTSI,D,20010614,00:00:00,210.1400000,210.1400000,207.2500000,207.9700000,0
RI.RTSI,D,20010615,00:00:00,209.1200000,211.0100000,209.1200000,210.3300000,0
RI.RTSI,D,20010618,00:00:00,212.7200000,215.2600000,212.7200000,214.9400000,0
RI.RTSI,D,20010619,00:00:00,217.7600000,220.0800000,217.7600000,220.0800000,0
RI.RTSI,D,20010620,00:00:00,218.9200000,219.5600000,218.3500000,219.4200000,0
RI.RTSI,D,20010621,00:00:00,220.5100000,221.9500000,220.5100000,221.8200000,0
RI.RTSI,D,20010622,00:00:00,224.8200000,229.2800000,224.8200000,227.8700000,0
RI.RTSI,D,20010625,00:00:00,228.9800000,228.9800000,224.9500000,224.9500000,0
RI.RTSI,D,20010626,00:00:00,225.2400000,225.2400000,221.9800000,222.4000000,0
RI.RTSI,D,20010627,00:00:00,222.7300000,222.7300000,221.6900000,222.0000000,0
RI.RTSI,D,20010628,00:00:00,219.0200000,220.6800000,216.5800000,218.9100000,0
RI.RTSI,D,20010629,00:00:00,218.7500000,218.7500000,214.9400000,216.1100000,0
